iter	Passed	Remaining
0	272	136110
1	472	117765
2	678	112448
3	878	108884
4	1078	106769
5	1284	105771
6	1480	104284
7	1676	103130
8	1879	102516
9	2075	101693
10	2271	100959
11	2466	100309
12	2667	99937
13	2865	99464
14	3064	99094
15	3266	98797
16	3471	98634
17	3669	98269
18	3869	97964
19	4069	97660
20	4263	97241
21	4461	96925
22	4659	96628
23	4852	96247
24	5051	95969
25	5246	95640
26	5447	95428
27	5649	95229
28	5855	95108
29	6058	94919
30	6256	94655
31	6456	94426
32	6660	94263
33	6864	94086
34	7060	93805
35	7259	93560
36	7454	93285
37	7650	93013
38	7854	92840
39	8056	92654
40	8256	92428
41	8452	92171
42	8651	91946
43	8849	91711
44	9048	91489
45	9253	91325
46	9449	91074
47	9648	90852
48	9846	90632
49	10052	90475
50	10255	90288
51	10453	90064
52	10656	89875
53	10849	89612
54	11048	89394
55	11247	89172
56	11440	88918
57	11638	88694
58	11837	88478
59	12037	88273
60	12244	88122
61	12448	87942
62	12645	87713
63	12842	87488
64	13043	87288
65	13244	87092
66	13442	86871
67	13641	86663
68	13839	86445
69	14044	86275
70	14248	86094
71	14455	85932
72	14654	85717
73	14851	85498
74	15051	85293
75	15253	85101
76	15459	84925
77	15666	84759
78	15869	84568
79	16074	84393
80	16279	84210
81	16489	84054
82	16691	83858
83	16894	83665
84	17095	83467
85	17309	83324
86	17519	83165
87	17716	82943
88	17919	82750
89	18126	82577
90	18329	82384
91	18538	82213
92	18737	82002
93	18942	81814
94	19148	81633
95	19351	81436
96	19552	81234
97	19756	81042
98	19954	80826
99	20161	80645
100	20369	80469
101	20569	80261
102	20782	80104
103	20989	79920
104	21199	79751
105	21413	79592
106	21616	79396
107	21824	79214
108	22026	79012
109	22231	78821
110	22434	78622
111	22636	78419
112	22842	78230
113	23042	78022
114	23255	77856
115	23465	77679
116	23672	77493
117	23878	77300
118	24078	77092
119	24287	76910
120	24489	76706
121	24695	76516
122	24899	76319
123	25105	76125
124	25310	75932
125	25516	75739
126	25717	75533
127	25921	75333
128	26127	75141
129	26331	74944
130	26552	74791
131	26758	74600
132	26969	74419
133	27177	74230
134	27385	74042
135	27593	73851
136	27824	73724
137	28044	73565
138	28252	73375
139	28457	73175
140	28667	72990
141	28872	72790
142	29076	72588
143	29292	72416
144	29500	72224
145	29704	72022
146	29910	71826
147	30120	71638
148	30324	71435
149	30532	71243
150	30748	71066
151	30958	70879
152	31173	70700
153	31379	70501
154	31588	70310
155	31794	70111
156	32000	69912
157	32208	69716
158	32414	69517
159	32617	69311
160	32830	69126
161	33041	68937
162	33256	68757
163	33466	68566
164	33680	68381
165	33888	68185
166	34100	67996
167	34304	67793
168	34514	67600
169	34725	67408
170	34939	67222
171	35146	67023
172	35358	66833
173	35563	66629
174	35768	66428
175	35979	66234
176	36186	66034
177	36397	65841
178	36611	65655
179	36826	65469
180	37031	65266
181	37240	65068
182	37454	64879
183	37657	64672
184	37884	64505
185	38172	64441
186	38388	64254
187	38598	64056
188	38811	63863
189	39020	63664
190	39238	63480
191	39447	63279
192	39663	63091
193	39868	62885
194	40080	62690
195	40287	62486
196	40493	62281
197	40702	62081
198	40906	61873
199	41117	61676
200	41328	61478
201	41537	61277
202	41749	61081
203	41960	60883
204	42181	60700
205	42393	60503
206	42604	60304
207	42815	60106
208	43028	59910
209	43241	59715
210	43458	59523
211	43666	59320
212	43883	59129
213	44096	58932
214	44307	58733
215	44515	58529
216	44722	58325
217	44937	58129
218	45146	57927
219	45356	57727
220	45569	57528
221	45778	57326
222	45985	57121
223	46193	56916
224	46402	56714
225	46614	56514
226	46829	56319
227	47042	56121
228	47256	55923
229	47471	55727
230	47680	55524
231	47896	55329
232	48113	55134
233	48325	54933
234	48535	54731
235	48743	54527
236	48956	54327
237	49170	54128
238	49378	53924
239	49588	53720
240	49797	53516
241	50008	53314
242	50220	53113
243	50431	52911
244	50648	52715
245	50860	52514
246	51074	52315
247	51287	52115
248	51506	51919
249	51719	51719
250	51937	51523
251	52147	51319
252	52360	51119
253	52565	50910
254	52772	50703
255	52985	50501
256	53194	50296
257	53406	50094
258	53611	49885
259	53825	49684
260	54032	49477
261	54246	49277
262	54462	49078
263	54676	48877
264	54891	48676
265	55107	48477
266	55324	48279
267	55530	48071
268	55744	47870
269	55966	47675
270	56178	47471
271	56392	47270
272	56605	47067
273	56820	46866
274	57029	46660
275	57246	46460
276	57464	46262
277	57678	46059
278	57890	45855
279	58104	45653
280	58313	45447
281	58529	45245
282	58737	45039
283	58947	44833
284	59158	44627
285	59372	44425
286	59583	44220
287	59794	44015
288	60006	43810
289	60223	43610
290	60437	43407
291	60644	43198
292	60857	42994
293	61064	42786
294	61279	42584
295	61490	42378
296	61699	42171
297	61913	41968
298	62128	41765
299	62339	41559
300	62557	41358
301	62773	41156
302	62982	40948
303	63192	40742
304	63403	40536
305	63614	40331
306	63826	40125
307	64041	39921
308	64252	39716
309	64461	39508
310	64673	39303
311	64884	39096
312	65096	38891
313	65305	38684
314	65517	38478
315	65729	38272
316	65944	38068
317	66158	37864
318	66376	37661
319	66586	37455
320	66814	37257
321	67028	37053
322	67245	36849
323	67457	36643
324	67671	36438
325	67881	36231
326	68093	36024
327	68309	35820
328	68518	35612
329	68729	35405
330	68935	35196
331	69146	34989
332	69361	34784
333	69568	34576
334	69792	34375
335	70001	34167
336	70216	33962
337	70424	33753
338	70634	33546
339	70852	33342
340	71063	33135
341	71278	32929
342	71495	32725
343	71715	32522
344	71929	32316
345	72146	32111
346	72360	31905
347	72574	31699
348	72785	31491
349	73001	31286
350	73215	31080
351	73429	30873
352	73645	30668
353	73853	30459
354	74075	30256
355	74289	30049
356	74503	29842
357	74723	29639
358	74940	29433
359	75156	29227
360	75367	29019
361	75579	28812
362	75789	28603
363	76004	28397
364	76218	28190
365	76435	27984
366	76647	27776
367	76858	27568
368	77067	27360
369	77286	27154
370	77499	26947
371	77710	26739
372	77927	26532
373	78144	26326
374	78353	26117
375	78569	25911
376	78777	25701
377	78985	25492
378	79204	25287
379	79415	25078
380	79625	24869
381	79841	24663
382	80050	24454
383	80263	24246
384	80484	24040
385	80698	23833
386	80911	23625
387	81134	23420
388	81363	23216
389	81579	23009
390	81795	22802
391	82009	22594
392	82225	22387
393	82446	22180
394	82657	21972
395	82871	21764
396	83086	21556
397	83301	21348
398	83516	21140
399	83735	20933
400	83953	20726
401	84169	20518
402	84380	20310
403	84591	20101
404	84803	19892
405	85021	19684
406	85236	19476
407	85457	19269
408	85670	19061
409	85891	18854
410	86102	18645
411	86314	18436
412	86536	18229
413	86749	18020
414	86963	17811
415	87175	17602
416	87388	17393
417	87599	17184
418	87810	16975
419	88025	16766
420	88242	16558
421	88453	16349
422	88665	16140
423	88878	15931
424	89094	15722
425	89310	15514
426	89523	15304
427	89740	15096
428	89955	14887
429	90172	14679
430	90396	14471
431	90616	14263
432	90828	14054
433	91043	13845
434	91263	13637
435	91473	13427
436	91685	13217
437	91899	13008
438	92136	12802
439	92364	12595
440	92580	12385
441	92797	12176
442	93011	11967
443	93226	11758
444	93443	11549
445	93655	11339
446	93887	11132
447	94108	10923
448	94326	10714
449	94550	10505
450	94769	10296
451	94986	10087
452	95205	9877
453	95427	9668
454	95648	9459
455	95869	9250
456	96089	9041
457	96313	8832
458	96536	8623
459	96760	8413
460	96992	8205
461	97212	7995
462	97435	7786
463	97652	7576
464	97875	7366
465	98098	7157
466	98326	6948
467	98547	6738
468	98764	6528
469	98982	6318
470	99213	6108
471	99437	5898
472	99657	5688
473	99880	5478
474	100100	5268
475	100325	5058
476	100548	4848
477	100773	4638
478	101000	4428
479	101222	4217
480	101453	4007
481	101677	3797
482	101909	3586
483	102146	3376
484	102375	3166
485	102602	2955
486	102830	2744
487	103057	2534
488	103283	2323
489	103512	2112
490	103743	1901
491	103968	1690
492	104195	1479
493	104419	1268
494	104651	1057
495	104887	845
496	105113	634
497	105345	423
498	105571	211
499	105798	0
